state,district,year,max_murder
ASSAM,CACHAR,2012,72
HARYANA,FARIDABAD,2012,72
JHARKHAND,GIRIDIH,2012,72
"MADHYA PRADESH",SATNA,2012,72
MAHARASHTRA,"NAGPUR RURAL",2007,71
"UTTAR PRADESH",HARDOI,2008,71
CHHATTISGARH,JAGDALPUR,2009,71
RAJASTHAN,BHARATPUR,2009,71
"WEST BENGAL",PURULIA,2009,71
"ANDHRA PRADESH","EAST GODAVARI",2010,71
BIHAR,BANKA,2010,71
JHARKHAND,KHUNTI,2010,71
JHARKHAND,SAHEBGANJ,2010,71
"MADHYA PRADESH",BHOPAL,2010,71
"MADHYA PRADESH",DHAR,2010,71
BIHAR,DARBHANGA,2011,71
BIHAR,SITAMARHI,2011,71
KARNATAKA,MANDYA,2011,71
"MADHYA PRADESH",CHHINDWARA,2011,71
ODISHA,ANGUL,2011,71
"TAMIL NADU","MADURAI RURAL",2011,71
TRIPURA,WEST,2011,71
"UTTAR PRADESH",BARABANKI,2011,71
ASSAM,SIBSAGAR,2012,71
BIHAR,BHOJPUR,2012,71
MAHARASHTRA,YAVATMAL,2012,71
ASSAM,"GUWAHATI CITY",2001,71
GUJARAT,"VADODARA RURAL",2001,71
"MADHYA PRADESH",GUNA,2001,71
MAHARASHTRA,"PUNE COMMR.",2001,71
GUJARAT,HIMATNAGAR,2002,71
"MADHYA PRADESH",SHIVPURI,2002,71
MAHARASHTRA,NANDED,2003,71
"TAMIL NADU",CHENNAI,2003,71
ASSAM,GOLAGHAT,2004,71
BIHAR,BANKA,2004,71
BIHAR,KATIHAR,2004,71
"MADHYA PRADESH",BHOPAL,2004,71
MAHARASHTRA,"NAGPUR RURAL",2004,71
"UTTAR PRADESH",ETAWAH,2004,71
CHHATTISGARH,DURG,2006,71
GUJARAT,"SURAT RURAL",2006,71
"MADHYA PRADESH",CHHATARPUR,2006,71
MAHARASHTRA,NANDED,2006,71
"UTTAR PRADESH",HATHRAS,2006,71
BIHAR,KATIHAR,2007,71
JHARKHAND,BOKARO,2001,70
"DELHI UT",WEST,2001,70
CHHATTISGARH,JAGDALPUR,2002,70
"MADHYA PRADESH",CHHATARPUR,2002,70
"JAMMU & KASHMIR",PULWAMA,2003,70
JHARKHAND,PALAMU,2003,70
BIHAR,BUXAR,2004,70
CHHATTISGARH,DANTEWARA,2004,70
"JAMMU & KASHMIR",ANANTNAG,2004,70
"UTTAR PRADESH",JHANSI,2004,70
GUJARAT,"VADODARA RURAL",2005,70
MAHARASHTRA,NANDED,2005,70
ODISHA,MAYURBHANJ,2005,70
"UTTAR PRADESH",FATEHGARH,2005,70
"UTTAR PRADESH",KAUSHAMBI,2005,70
BIHAR,DARBHANGA,2006,70
"ANDHRA PRADESH","VISAKHA RURAL",2007,70
CHHATTISGARH,JAGDALPUR,2007,70
"MADHYA PRADESH",GWALIOR,2007,70
"MADHYA PRADESH",UJJAIN,2007,70
MAHARASHTRA,YAVATMAL,2007,70
"TAMIL NADU",VILLUPURAM,2007,70
"ANDHRA PRADESH",NELLORE,2008,70
BIHAR,BANKA,2008,70
"UTTAR PRADESH",ETAWAH,2008,70
"MADHYA PRADESH",ALIRAJPUR,2009,70
MAHARASHTRA,LATUR,2009,70
"TAMIL NADU",VILLUPURAM,2009,70
"UTTAR PRADESH",FATEHPUR,2009,70
HARYANA,FARIDABAD,2010,70
JHARKHAND,BOKARO,2010,70
"ANDHRA PRADESH",KRISHNA,2011,70
JHARKHAND,GARHWA,2011,70
MAHARASHTRA,"NAVI MUMBAI",2011,70
"TAMIL NADU","SALEM RURAL",2011,70
"ANDHRA PRADESH","EAST GODAVARI",2012,70
JHARKHAND,PALAMU,2012,70
"TAMIL NADU",CUDDALORE,2012,70
"UTTAR PRADESH",SAHARANPUR,2012,70
MAHARASHTRA,BEED,2007,69
RAJASTHAN,BHARATPUR,2007,69
"WEST BENGAL",HOWRAH,2007,69
CHHATTISGARH,DANTEWARA,2008,69
KARNATAKA,TUMKUR,2008,69
"MADHYA PRADESH",JABALPUR,2008,69
"TAMIL NADU","SALEM RURAL",2008,69
ASSAM,KOKRAJHAR,2009,69
JHARKHAND,DHANBAD,2009,69
"TAMIL NADU",DINDIGUL,2009,69
"TAMIL NADU",THANJAVUR,2009,69
"WEST BENGAL",BANKURA,2009,69
JHARKHAND,HAZARIBAGH,2010,69
"MADHYA PRADESH",CHHATARPUR,2010,69
BIHAR,ARARIA,2011,69
JHARKHAND,DHANBAD,2012,69
KARNATAKA,BIJAPUR,2012,69
HARYANA,GURGAON,2001,69
KARNATAKA,KOLAR,2001,69
"TAMIL NADU",THOOTHUGUDI,2001,69
"UTTAR PRADESH","KUSHI NAGAR",2001,69
"WEST BENGAL",PURULIA,2001,69
"ANDHRA PRADESH","WEST GODAVARI",2002,69
BIHAR,GOPALGANJ,2002,69
BIHAR,NAWADAH,2002,69
JHARKHAND,PALAMU,2002,69
"MADHYA PRADESH",BALAGHAT,2002,69
MAHARASHTRA,BEED,2002,69
"UTTAR PRADESH",RAIBAREILLY,2003,69
ASSAM,DARRANG,2004,69
JHARKHAND,PALAMU,2004,69
"MADHYA PRADESH",SAGAR,2004,69
MAHARASHTRA,SANGLI,2004,69
"ANDHRA PRADESH",KRISHNA,2005,69
BIHAR,MADHUBANI,2005,69
BIHAR,VAISHALI,2005,69
JHARKHAND,PALAMU,2005,69
"UTTAR PRADESH","GAUTAMBUDH NAGAR",2005,69
"UTTAR PRADESH",RAMPUR,2005,69
BIHAR,JAMUI,2006,69
HARYANA,SONIPAT,2006,69
JHARKHAND,SIMDEGA,2006,69
MAHARASHTRA,PARBHANI,2006,69
HARYANA,FARIDABAD,2001,68
MAHARASHTRA,BEED,2001,68
"UTTAR PRADESH",GONDA,2001,68
"MADHYA PRADESH",REWA,2002,68
PUNJAB,LUDHIANA,2002,68
ASSAM,CACHAR,2003,68
BIHAR,DARBHANGA,2003,68
"UTTAR PRADESH",JALAUN,2003,68
BIHAR,JEHANABAD,2004,68
ODISHA,SUNDARGARH,2004,68
"TAMIL NADU",VILLUPURAM,2004,68
BIHAR,ARARIA,2005,68
BIHAR,BUXAR,2005,68
"TAMIL NADU",VILUPPURAM,2005,68
PUNJAB,FEROZPUR,2006,68
"ANDHRA PRADESH",NELLORE,2007,68
ASSAM,"GUWAHATI CITY",2007,68
BIHAR,AURANGABAD,2007,68
"MADHYA PRADESH",BHIND,2007,68
"TAMIL NADU",THANJAVUR,2007,68
"DELHI UT",SOUTH,2007,68
ODISHA,GANJAM,2008,68
"UTTAR PRADESH",BADAUN,2008,68
ASSAM,SIBSAGAR,2009,68
JHARKHAND,DUMKA,2009,68
PUNJAB,LUDHIANA,2009,68
"TAMIL NADU","MADURAI RURAL",2009,68
BIHAR,SITAMARHI,2010,68
MAHARASHTRA,YAVATMAL,2010,68
"UTTAR PRADESH",AZAMGARH,2010,68
"UTTAR PRADESH",HARDOI,2010,68
"UTTAR PRADESH",MAINPURI,2010,68
"UTTAR PRADESH",RAMPUR,2010,68
"DELHI UT",NORTH-EAST,2010,68
BIHAR,MUNGER,2011,68
KARNATAKA,"MYSORE RURAL",2011,68
"MADHYA PRADESH",UJJAIN,2011,68
MAHARASHTRA,LATUR,2011,68
ODISHA,ROURKELA,2011,68
"TAMIL NADU",CUDDALORE,2011,68
BIHAR,MUNGER,2012,68
JHARKHAND,HAZARIBAGH,2012,68
"UTTAR PRADESH",FATEHGARH,2012,68
"TAMIL NADU","SALEM RURAL",2007,67
ASSAM,BASKA,2008,67
HARYANA,ROHTAK,2008,67
"WEST BENGAL","UTTAR DINAJPUR",2008,67
BIHAR,AURANGABAD,2009,67
BIHAR,SITAMARHI,2009,67
"MADHYA PRADESH",CHHATARPUR,2009,67
MAHARASHTRA,SANGLI,2009,67
PUNJAB,FEROZPUR,2009,67
RAJASTHAN,GANGANAGAR,2009,67
"TAMIL NADU",KRISHNAGIRI,2009,67
"UTTAR PRADESH",KHIRI,2009,67
UTTARAKHAND,HARIDWAR,2009,67
CHHATTISGARH,RAIGARH,2010,67
"WEST BENGAL",BANKURA,2011,67
"ANDHRA PRADESH","VISAKHA RURAL",2012,67
MAHARASHTRA,LATUR,2012,67
"WEST BENGAL",HOWRAH,2012,67
BIHAR,JAMUI,2001,67
KARNATAKA,MANDYA,2001,67
RAJASTHAN,UDAIPUR,2001,67
"TAMIL NADU",VILLUPURAM,2001,67
"ANDHRA PRADESH",PRAKASHAM,2002,67
BIHAR,KATIHAR,2002,67
BIHAR,LAKHISARAI,2002,67
JHARKHAND,DUMKA,2002,67
"TAMIL NADU",CHENGAI,2002,67
"UTTAR PRADESH",KANNAUJ,2002,67
ASSAM,"KARBI ANGLONG",2003,67
HARYANA,FARIDABAD,2004,67
HARYANA,SONIPAT,2004,67
JHARKHAND,DUMKA,2004,67
"TAMIL NADU",CHENNAI,2004,67
"DELHI UT",WEST,2004,67
MAHARASHTRA,"NAGPUR RURAL",2005,67
"UTTAR PRADESH",ETAWAH,2005,67
"DELHI UT",SOUTH,2005,67
MAHARASHTRA,"AMRAVATI RURAL",2006,67
RAJASTHAN,GANGANAGAR,2006,67
JHARKHAND,PALAMU,2007,67
BIHAR,BETTIAH,2001,66
"UTTAR PRADESH",HAMIRPUR,2001,66
"UTTAR PRADESH",KANNAUJ,2001,66
BIHAR,KHAGARIA,2002,66
BIHAR,MADHUBANI,2002,66
HARYANA,GURGAON,2002,66
"DELHI UT","NORTH EAST",2002,66
"ANDHRA PRADESH",KRISHNA,2003,66
MAHARASHTRA,KOLHAPUR,2003,66
"UTTAR PRADESH","GAUTAMBUDH NAGAR",2003,66
BIHAR,ARARIA,2004,66
HARYANA,GURGAON,2004,66
KARNATAKA,BIJAPUR,2004,66
"MADHYA PRADESH",CHHINDWARA,2004,66
"MADHYA PRADESH",MORENA,2004,66
"UTTAR PRADESH",BANDA,2004,66
"UTTAR PRADESH",HATHRAS,2004,66
"UTTAR PRADESH",KANNAUJ,2004,66
GUJARAT,BHAVNAGAR,2005,66
"JAMMU & KASHMIR",DODA,2005,66
"MADHYA PRADESH",BETUL,2005,66
"UTTAR PRADESH",J.P.NAGAR,2005,66
"MADHYA PRADESH",MORENA,2006,66
"TAMIL NADU",VILLUPURAM,2006,66
"DELHI UT",SOUTH,2006,66
"DELHI UT",WEST,2006,66
KARNATAKA,KOLAR,2007,66
ODISHA,GANJAM,2007,66
RAJASTHAN,"JAIPUR RURAL",2007,66
"TAMIL NADU",VELLORE,2007,66
"UTTAR PRADESH",ETAWAH,2007,66
"UTTAR PRADESH",FATEHPUR,2007,66
"UTTAR PRADESH",J.P.NAGAR,2007,66
"UTTAR PRADESH",JHANSI,2007,66
"UTTAR PRADESH",VARANASI,2007,66
"WEST BENGAL",BIRBHUM,2007,66
"DELHI UT",NORTH-EAST,2007,66
RAJASTHAN,"JAIPUR RURAL",2008,66
"TAMIL NADU",THANJAVUR,2008,66
"UTTAR PRADESH",BAGHPAT,2008,66
"DELHI UT",SOUTH-EAST,2008,66
"ANDHRA PRADESH",NELLORE,2009,66
BIHAR,MADHUBANI,2009,66
HARYANA,JHAJJAR,2009,66
JHARKHAND,GODDA,2009,66
KARNATAKA,RAMANAGAR,2009,66
MAHARASHTRA,GADCHIROLI,2009,66
CHHATTISGARH,JAGDALPUR,2010,66
GUJARAT,"VADODARA RURAL",2010,66
"WEST BENGAL",COOCHBEHAR,2010,66
"ANDHRA PRADESH","VISAKHA RURAL",2011,66
BIHAR,JAMUI,2011,66
CHHATTISGARH,JAGDALPUR,2011,66
KARNATAKA,BIJAPUR,2011,66
"MADHYA PRADESH",SATNA,2011,66
"UTTAR PRADESH",BAGHPAT,2011,66
"UTTAR PRADESH",J.P.NAGAR,2011,66
"UTTAR PRADESH",JHANSI,2011,66
"WEST BENGAL","UTTAR DINAJPUR",2011,66
"DELHI UT",NORTH-EAST,2011,66
JHARKHAND,DUMKA,2012,66
JHARKHAND,SIMDEGA,2012,66
"WEST BENGAL",PURULIA,2012,66
MAHARASHTRA,KOLHAPUR,2007,65
TRIPURA,WEST,2007,65
"ANDHRA PRADESH","VISAKHA RURAL",2008,65
ASSAM,GOLAGHAT,2008,65
CHHATTISGARH,JASHPUR,2008,65
CHHATTISGARH,SARGUJA,2008,65
RAJASTHAN,UDAIPUR,2008,65
"UTTAR PRADESH",FATEHGARH,2008,65
"UTTAR PRADESH","GAUTAMBUDH NAGAR",2008,65
BIHAR,BETTIAH,2009,65
BIHAR,JAMUI,2009,65
HARYANA,ROHTAK,2009,65
"MADHYA PRADESH",BETUL,2009,65
"MADHYA PRADESH",BHOPAL,2009,65
ODISHA,ROURKELA,2009,65
"UTTAR PRADESH",AZAMGARH,2009,65
"DELHI UT",SOUTH-WEST,2009,65
BIHAR,BHABHUA,2010,65
JHARKHAND,SARAIKELA,2010,65
MAHARASHTRA,LATUR,2010,65
BIHAR,BUXAR,2011,65
MAHARASHTRA,KOLHAPUR,2011,65
MAHARASHTRA,"NAGPUR RURAL",2011,65
"TAMIL NADU",DINDIGUL,2011,65
ASSAM,DHUBRI,2012,65
BIHAR,KHAGARIA,2012,65
MAHARASHTRA,SATARA,2012,65
ODISHA,ANGUL,2012,65
"UTTAR PRADESH",JHANSI,2012,65
"ANDHRA PRADESH",KRISHNA,2001,65
ASSAM,DHUBRI,2001,65
ASSAM,"KARBI ANGLONG",2001,65
"WEST BENGAL",KOLKATA,2001,65
"MADHYA PRADESH",BETUL,2002,65
MAHARASHTRA,KOLHAPUR,2002,65
RAJASTHAN,HANUMANGARH,2002,65
RAJASTHAN,UDAIPUR,2002,65
"TAMIL NADU",CUDDALORE,2002,65
"TAMIL NADU","MADURAI RURAL",2002,65
"ANDHRA PRADESH","RANGA REDDY",2003,65
BIHAR,GOPALGANJ,2003,65
JHARKHAND,GIRIDIH,2003,65
KARNATAKA,KOLAR,2003,65
"MADHYA PRADESH",BETUL,2003,65
ODISHA,KHURDA,2003,65
HARYANA,ROHTAK,2004,65
KARNATAKA,TUMKUR,2004,65
"MADHYA PRADESH",REWA,2004,65
"UTTAR PRADESH",KAUSHAMBI,2004,65
HARYANA,GURGAON,2005,65
JHARKHAND,SIMDEGA,2005,65
"MADHYA PRADESH",BALAGHAT,2005,65
MAHARASHTRA,KOLHAPUR,2005,65
"UTTAR PRADESH",BANDA,2005,65
"UTTAR PRADESH",HATHRAS,2005,65
UTTARAKHAND,HARIDWAR,2005,65
"ANDHRA PRADESH","VISAKHA RURAL",2006,65
"JAMMU & KASHMIR",DODA,2006,65
"MADHYA PRADESH",BETUL,2006,65
"MADHYA PRADESH",JABALPUR,2006,65
"MADHYA PRADESH",UJJAIN,2006,65
MAHARASHTRA,KOLHAPUR,2006,65
BIHAR,MADHEPURA,2007,65
HARYANA,FARIDABAD,2007,65
JHARKHAND,DUMKA,2007,65
ASSAM,BARPETA,2001,64
GUJARAT,BHAVNAGAR,2001,64
KARNATAKA,HASSAN,2001,64
MAHARASHTRA,AKOLA,2001,64
"TAMIL NADU","MADURAI RURAL",2001,64
GUJARAT,DAHOD,2002,64
"MADHYA PRADESH",GUNA,2002,64
"UTTAR PRADESH",PRATAPGARH,2002,64
ASSAM,DHUBRI,2003,64
BIHAR,JAMUI,2003,64
BIHAR,JEHANABAD,2003,64
PUNJAB,LUDHIANA,2003,64
"UTTAR PRADESH",KANNAUJ,2003,64
BIHAR,MUNGER,2004,64
"TAMIL NADU","COIMBATORE RURAL",2004,64
KARNATAKA,TUMKUR,2005,64
MAHARASHTRA,SATARA,2006,64
"UTTAR PRADESH",AZAMGARH,2006,64
"UTTAR PRADESH",PRATAPGARH,2006,64
"ANDHRA PRADESH",KRISHNA,2007,64
"MADHYA PRADESH",SHIVPURI,2007,64
"UTTAR PRADESH",FATEHGARH,2007,64
BIHAR,BETTIAH,2008,64
NAGALAND,DIMAPUR,2008,64
"UTTAR PRADESH",ETAH,2008,64
HARYANA,PANIPAT,2009,64
KARNATAKA,BIJAPUR,2009,64
"MADHYA PRADESH",REWA,2009,64
"UTTAR PRADESH",ETAH,2009,64
MAHARASHTRA,"AMRAVATI RURAL",2010,64
ASSAM,CACHAR,2011,64
JHARKHAND,SARAIKELA,2011,64
ODISHA,JAJPUR,2011,64
"UTTAR PRADESH",FATEHPUR,2011,64
"DELHI UT",WEST,2011,64
HARYANA,JHAJJAR,2012,64
"MADHYA PRADESH",BHIND,2012,64
PUNJAB,JALANDHAR,2007,63
PUNJAB,LUDHIANA,2007,63
BIHAR,KATIHAR,2008,63
JHARKHAND,GIRIDIH,2008,63
JHARKHAND,KHUNTI,2008,63
RAJASTHAN,BHARATPUR,2008,63
"TAMIL NADU",CUDDALORE,2008,63
"UTTAR PRADESH",RAIBAREILLY,2008,63
"WEST BENGAL","PURAB MIDNAPUR",2008,63
"ANDHRA PRADESH","RANGA REDDY",2009,63
JHARKHAND,SIMDEGA,2009,63
"MADHYA PRADESH",MORENA,2009,63
BIHAR,BETTIAH,2010,63
BIHAR,KHAGARIA,2010,63
CHHATTISGARH,DANTEWARA,2010,63
"TAMIL NADU",VILLUPURAM,2010,63
"UTTAR PRADESH",ETAH,2010,63
"WEST BENGAL","UTTAR DINAJPUR",2010,63
"DELHI UT",SOUTH-WEST,2010,63
"DELHI UT",WEST,2010,63
ODISHA,SUNDARGARH,2011,63
MAHARASHTRA,"AMRAVATI RURAL",2012,63
MAHARASHTRA,KOLHAPUR,2012,63
"TAMIL NADU",KRISHNAGIRI,2012,63
"TAMIL NADU",TIRUPPUR,2012,63
"JAMMU & KASHMIR",SRINAGAR,2001,63
JHARKHAND,DUMKA,2001,63
JHARKHAND,GIRIDIH,2001,63
"MADHYA PRADESH",BHIND,2001,63
"MADHYA PRADESH",MORENA,2001,63
"TAMIL NADU",ERODE,2001,63
BIHAR,MUNGER,2002,63
GUJARAT,"AHMEDABAD RURAL",2002,63
HARYANA,ROHTAK,2002,63
ODISHA,KHURDA,2002,63
RAJASTHAN,GANGANAGAR,2002,63
"WEST BENGAL",DARJEELING,2002,63
"UTTAR PRADESH",PILIBHIT,2003,63
"UTTAR PRADESH",RAMPUR,2003,63
ASSAM,KOKRAJHAR,2004,63
BIHAR,LAKHISARAI,2004,63
CHHATTISGARH,JAGDALPUR,2004,63
"TAMIL NADU","THIRUNELVELI RURAL",2004,63
"UTTAR PRADESH","GAUTAMBUDH NAGAR",2004,63
"UTTAR PRADESH",PRATAPGARH,2004,63
"WEST BENGAL",MALDA,2004,63
BIHAR,SITAMARHI,2005,63
CHHATTISGARH,JAGDALPUR,2005,63
CHHATTISGARH,JASHPUR,2005,63
JHARKHAND,GIRIDIH,2005,63
KARNATAKA,HASSAN,2005,63
PUNJAB,JALANDHAR,2005,63
"TAMIL NADU",THANJAVUR,2005,63
"TAMIL NADU",THOOTHUGUDI,2005,63
BIHAR,ARARIA,2006,63
"JAMMU & KASHMIR",BARAMULLA,2006,63
KARNATAKA,BIJAPUR,2006,63
MAHARASHTRA,BEED,2006,63
PUNJAB,LUDHIANA,2006,63
"WEST BENGAL",MALDA,2006,63
GUJARAT,"SURAT RURAL",2001,62
ODISHA,KEONJHAR,2001,62
"DELHI UT","NORTH EAST",2001,62
ASSAM,KOKRAJHAR,2002,62
"JAMMU & KASHMIR",RAMBAN,2002,62
KARNATAKA,BELLARY,2002,62
KARNATAKA,BIJAPUR,2002,62
KARNATAKA,"MYSORE RURAL",2002,62
"MADHYA PRADESH",BHOPAL,2002,62
"MADHYA PRADESH",MORENA,2002,62
"MADHYA PRADESH",SATNA,2002,62
"UTTAR PRADESH",FAIZABAD,2002,62
"UTTAR PRADESH",HAMIRPUR,2002,62
"UTTAR PRADESH",JHANSI,2002,62
BIHAR,KHAGARIA,2003,62
BIHAR,MADHEPURA,2003,62
HARYANA,GURGAON,2003,62
HARYANA,SONIPAT,2003,62
"TAMIL NADU",CUDDALORE,2003,62
"TAMIL NADU",DINDIGUL,2003,62
"UTTAR PRADESH",J.P.NAGAR,2003,62
"UTTAR PRADESH",SULTANPUR,2003,62
"MADHYA PRADESH",UJJAIN,2004,62
ODISHA,GANJAM,2004,62
"ANDHRA PRADESH","RANGA REDDY",2005,62
CHHATTISGARH,RAIGARH,2005,62
"MADHYA PRADESH",CHHATARPUR,2005,62
"MADHYA PRADESH",MORENA,2005,62
MAHARASHTRA,BEED,2005,62
"UTTAR PRADESH",BIJNOR,2005,62
BIHAR,MADHUBANI,2006,62
CHHATTISGARH,JAGDALPUR,2006,62
GUJARAT,PANCHMAHAL,2006,62
HARYANA,ROHTAK,2006,62
KARNATAKA,TUMKUR,2006,62
"MADHYA PRADESH",BHOPAL,2006,62
"UTTAR PRADESH",JAUNPUR,2006,62
"ANDHRA PRADESH","WEST GODAVARI",2007,62
CHHATTISGARH,RAIGARH,2007,62
HARYANA,BHIWANI,2007,62
KARNATAKA,BELLARY,2007,62
"TAMIL NADU",THOOTHUGUDI,2007,62
"UTTAR PRADESH",BARABANKI,2007,62
BIHAR,MADHUBANI,2008,62
HARYANA,JHAJJAR,2008,62
"MADHYA PRADESH",SATNA,2008,62
"MADHYA PRADESH",SHIVPURI,2009,62
"UTTAR PRADESH",FATEHGARH,2009,62
"UTTAR PRADESH",RAIBAREILLY,2009,62
CHHATTISGARH,JASHPUR,2010,62
RAJASTHAN,ALWAR,2010,62
"UTTAR PRADESH",HATHRAS,2010,62
"WEST BENGAL",DARJEELING,2010,62
JHARKHAND,BOKARO,2011,62
ODISHA,BALASORE,2011,62
"MADHYA PRADESH",DEWAS,2012,62
"TAMIL NADU",THANJAVUR,2012,62
"TAMIL NADU",VIRUDHUNAGAR,2012,62
"MADHYA PRADESH",SIDHI,2007,61
MANIPUR,"IMPHAL WEST",2007,61
RAJASTHAN,GANGANAGAR,2007,61
"TAMIL NADU",CUDDALORE,2007,61
JHARKHAND,GODDA,2008,61
MAHARASHTRA,BEED,2008,61
MAHARASHTRA,"NAVI MUMBAI",2008,61
CHHATTISGARH,BIZAPUR,2009,61
JHARKHAND,HAZARIBAGH,2009,61
KARNATAKA,"DAKSHIN KANNADA",2009,61
TRIPURA,WEST,2009,61
HARYANA,BHIWANI,2010,61
JHARKHAND,GARHWA,2010,61
KARNATAKA,HASSAN,2010,61
"MADHYA PRADESH",DATIYA,2010,61
MAHARASHTRA,SANGLI,2010,61
ODISHA,ANGUL,2010,61
RAJASTHAN,"JAIPUR RURAL",2010,61
"ANDHRA PRADESH",NELLORE,2011,61
ASSAM,DHUBRI,2011,61
ASSAM,SIBSAGAR,2011,61
JHARKHAND,GODDA,2011,61
MAHARASHTRA,BEED,2011,61
"TAMIL NADU",THANJAVUR,2011,61
"UTTAR PRADESH",FATEHGARH,2011,61
"UTTAR PRADESH",HARDOI,2011,61
"UTTAR PRADESH",HATHRAS,2011,61
"UTTAR PRADESH","PANCHSHIL NAGAR",2011,61
"UTTAR PRADESH",UNNAO,2011,61
"DELHI UT",SOUTH-EAST,2011,61
CHHATTISGARH,RAIGARH,2012,61
JHARKHAND,BOKARO,2012,61
"MADHYA PRADESH",CHHINDWARA,2012,61
"MADHYA PRADESH",DHAR,2012,61
"MADHYA PRADESH",SHIVPURI,2012,61
ODISHA,PURI,2012,61
"WEST BENGAL",BANKURA,2012,61
ASSAM,DARRANG,2001,61
BIHAR,LAKHISARAI,2001,61
JHARKHAND,GODDA,2001,61
"MADHYA PRADESH",BHOPAL,2001,61
MAHARASHTRA,"AURANGABAD RURAL",2001,61
"DELHI UT","SOUTH WEST",2001,61
BIHAR,ARARIA,2002,61
KARNATAKA,MANDYA,2002,61
"TAMIL NADU",DINDIGUL,2002,61
"TAMIL NADU",VELLORE,2002,61
"UTTAR PRADESH",KAUSHAMBI,2002,61
"ANDHRA PRADESH","VISAKHA RURAL",2003,61
BIHAR,BUXAR,2003,61
JHARKHAND,SAHEBGANJ,2003,61
"MADHYA PRADESH",BHIND,2003,61
"MADHYA PRADESH",SATNA,2003,61
MAHARASHTRA,SATARA,2003,61
RAJASTHAN,UDAIPUR,2003,61
KARNATAKA,HASSAN,2004,61
"MADHYA PRADESH",SIDHI,2004,61
MAHARASHTRA,LATUR,2004,61
MAHARASHTRA,"NAVI MUMBAI",2004,61
MAHARASHTRA,RAIGAD,2004,61
ODISHA,KHURDA,2004,61
"UTTAR PRADESH",GHAZIPUR,2004,61
ASSAM,GOLAGHAT,2005,61
ASSAM,SIBSAGAR,2005,61
MAHARASHTRA,CHANDRAPUR,2005,61
PUNJAB,LUDHIANA,2005,61
PUNJAB,PATIALA,2005,61
RAJASTHAN,UDAIPUR,2005,61
TRIPURA,WEST,2005,61
"UTTAR PRADESH",KANNAUJ,2005,61
"WEST BENGAL",MALDA,2005,61
"WEST BENGAL",PURULIA,2005,61
KARNATAKA,HASSAN,2006,61
MAHARASHTRA,SANGLI,2006,61
MAHARASHTRA,YAVATMAL,2006,61
"WEST BENGAL","PURAB MIDNAPUR",2006,61
"DELHI UT",NORTH-EAST,2006,61
ASSAM,CACHAR,2007,61
BIHAR,BETTIAH,2007,61
BIHAR,KATIHAR,2001,60
MAHARASHTRA,WARDHA,2001,60
"TAMIL NADU",CUDDALORE,2001,60
ASSAM,DHUBRI,2002,60
ASSAM,"GUWAHATI CITY",2002,60
BIHAR,BUXAR,2002,60
JHARKHAND,SARAIKELA,2003,60
"MADHYA PRADESH",SHAHDOL,2003,60
"MADHYA PRADESH",SHIVPURI,2003,60
MAHARASHTRA,"AURANGABAD RURAL",2003,60
"TAMIL NADU",THANJAVUR,2003,60
"ANDHRA PRADESH",KRISHNA,2004,60
BIHAR,MADHUBANI,2004,60
"JAMMU & KASHMIR",BUDGAM,2004,60
"MADHYA PRADESH",DATIYA,2004,60
"MADHYA PRADESH",SATNA,2004,60
MAHARASHTRA,"AMRAVATI RURAL",2004,60
ODISHA,KEONJHAR,2004,60
RAJASTHAN,ALWAR,2004,60
"TAMIL NADU",VELLORE,2004,60
BIHAR,AURANGABAD,2005,60
HARYANA,JHAJJAR,2005,60
MAHARASHTRA,GADCHIROLI,2005,60
"TAMIL NADU",CUDDALORE,2005,60
"UTTAR PRADESH",PRATAPGARH,2005,60
ASSAM,"GUWAHATI CITY",2006,60
BIHAR,MADHEPURA,2006,60
KARNATAKA,"MYSORE RURAL",2006,60
"MADHYA PRADESH",BALAGHAT,2006,60
ODISHA,GANJAM,2006,60
JHARKHAND,BOKARO,2007,60
KARNATAKA,"MYSORE RURAL",2007,60
"DELHI UT",WEST,2007,60
"MADHYA PRADESH",BHOPAL,2008,60
"MADHYA PRADESH",UJJAIN,2008,60
MAHARASHTRA,SATARA,2008,60
"TAMIL NADU",ERODE,2008,60
"UTTAR PRADESH","KANSHIRAM NAGAR",2008,60
BIHAR,NAWADAH,2009,60
CHHATTISGARH,DANTEWARA,2009,60
HARYANA,FARIDABAD,2009,60
"MADHYA PRADESH",SATNA,2009,60
ASSAM,SIBSAGAR,2010,60
RAJASTHAN,GANGANAGAR,2010,60
"TAMIL NADU",TIRUPPUR,2010,60
"DELHI UT",NORTH-WEST,2010,60
CHHATTISGARH,BIZAPUR,2011,60
HARYANA,FARIDABAD,2011,60
JHARKHAND,GIRIDIH,2011,60
MAHARASHTRA,"AURANGABAD RURAL",2011,60
MAHARASHTRA,BULDHANA,2011,60
HARYANA,ROHTAK,2012,60
"MADHYA PRADESH",ALIRAJPUR,2012,60
"TAMIL NADU","SALEM RURAL",2012,60
"UTTAR PRADESH",J.P.NAGAR,2012,60
"UTTAR PRADESH",UNNAO,2012,60
"WEST BENGAL",ASANSOL,2012,60
"DELHI UT",NORTH-WEST,2012,60
"MADHYA PRADESH",CHHINDWARA,2007,59
MAHARASHTRA,CHANDRAPUR,2007,59
ODISHA,DHENKANAL,2007,59
"UTTAR PRADESH",SULTANPUR,2007,59
HARYANA,FARIDABAD,2008,59
